,feature,X,C,Xi,Ci,Probability
0,cap-shape,x,p,1705,3906,0.4365079365079365
1,cap-shape,x,e,1936,4187,0.46238356818724624
2,cap-shape,b,p,48,3906,0.01228878648233487
3,cap-shape,b,e,401,4187,0.09577262956770957
4,cap-shape,s,p,0,3906,0.00025588536335721597
5,cap-shape,s,e,32,4187,0.0076427036064007645
6,cap-shape,f,p,1553,3906,0.39759344598054275
7,cap-shape,f,e,1592,4187,0.380224504418438
8,cap-shape,k,p,596,3906,0.1525857654889913
9,cap-shape,k,e,226,4187,0.0539765942202054
10,cap-shape,c,p,4,3906,0.0010240655401945725
11,cap-shape,c,e,0,4187,0.00023872045834328001
12,cap-surface,s,p,1410,3906,0.36098310291858676
13,cap-surface,s,e,1138,4187,0.2717936470026272
14,cap-surface,y,p,1732,3906,0.44342037890424985
15,cap-surface,y,e,1494,4187,0.3568187246238357
16,cap-surface,f,p,760,3906,0.19457245263696876
17,cap-surface,f,e,1555,4187,0.3713876283735371
18,cap-surface,g,p,4,3906,0.0010240655401945725
19,cap-surface,g,e,0,4187,0.00023872045834328001
20,cap-color,n,p,1016,3906,0.2601126472094214
21,cap-color,n,e,1258,4187,0.30045378552663005
22,cap-color,y,p,671,3906,0.17178699436763953
23,cap-color,y,e,394,4187,0.09410078815380941
24,cap-color,w,p,318,3906,0.08141321044546851
25,cap-color,w,e,714,4187,0.17052782421781706
26,cap-color,g,p,808,3906,0.20686123911930362
27,cap-color,g,e,1029,4187,0.24576068784332458
28,cap-color,e,p,874,3906,0.22375832053251407
29,cap-color,e,e,624,4187,0.1490327203248149
30,cap-color,p,p,88,3906,0.022529441884280594
31,cap-color,p,e,56,4187,0.013374731311201338
32,cap-color,b,p,120,3906,0.030721966205837174
33,cap-color,b,e,48,4187,0.011464055409601147
34,cap-color,u,p,0,3906,0.00025588536335721597
35,cap-color,u,e,16,4187,0.0038213518032003822
36,cap-color,c,p,11,3906,0.0028161802355350742
37,cap-color,c,e,32,4187,0.0076427036064007645
38,cap-color,r,p,0,3906,0.00025588536335721597
39,cap-color,r,e,16,4187,0.0038213518032003822
40,bruises,t,p,622,3906,0.159242191500256
41,bruises,t,e,2741,4187,0.6546453307857655
42,bruises,f,p,3284,3906,0.840757808499744
43,bruises,f,e,1446,4187,0.3453546692142345
44,odor,p,p,255,3906,0.065284178187404
45,odor,p,e,0,4187,0.00023872045834328001
46,odor,a,p,0,3906,0.00025588536335721597
47,odor,a,e,395,4187,0.09433962264150944
48,odor,l,p,0,3906,0.00025588536335721597
49,odor,l,e,396,4187,0.09457845712920945
50,odor,n,p,119,3906,0.03046594982078853
51,odor,n,e,3396,4187,0.8110819202292812
52,odor,f,p,2158,3906,0.5524833589349718
53,odor,f,e,0,4187,0.00023872045834328001
54,odor,c,p,192,3906,0.04915514592933948
55,odor,c,e,0,4187,0.00023872045834328001
56,odor,y,p,574,3906,0.14695340501792115
57,odor,y,e,0,4187,0.00023872045834328001
58,odor,s,p,573,3906,0.14669738863287252
59,odor,s,e,0,4187,0.00023872045834328001
60,odor,m,p,35,3906,0.008960573476702509
61,odor,m,e,0,4187,0.00023872045834328001
62,gill-attachment,f,p,3889,3906,0.995647721454173
63,gill-attachment,f,e,3997,4187,0.9546214473369955
64,gill-attachment,a,p,17,3906,0.004352278545826933
65,gill-attachment,a,e,190,4187,0.045378552663004536
66,gill-spacing,c,p,3794,3906,0.9713261648745519
67,gill-spacing,c,e,2992,4187,0.7145927871984714
68,gill-spacing,w,p,112,3906,0.02867383512544803
69,gill-spacing,w,e,1195,4187,0.28540721280152853
70,gill-size,n,p,2217,3906,0.5675883256528418
71,gill-size,n,e,285,4187,0.06806782899450681
72,gill-size,b,p,1689,3906,0.4324116743471582
73,gill-size,b,e,3902,4187,0.9319321710054932
74,gill-color,k,p,64,3906,0.01638504864311316
75,gill-color,k,e,343,4187,0.08192022928110819
76,gill-color,n,p,112,3906,0.02867383512544803
77,gill-color,n,e,933,4187,0.2228325770241223
78,gill-color,g,p,504,3906,0.12903225806451613
79,gill-color,g,e,243,4187,0.05803678051110581
80,gill-color,w,p,246,3906,0.0629800307219662
81,gill-color,w,e,953,4187,0.22760926677812277
82,gill-color,p,p,638,3906,0.1633384536610343
83,gill-color,p,e,848,4187,0.20253164556962025
84,gill-color,h,p,528,3906,0.13517665130568357
85,gill-color,h,e,201,4187,0.0480057320277048
86,gill-color,u,p,48,3906,0.01228878648233487
87,gill-color,u,e,444,4187,0.1060425125388106
88,gill-color,e,p,0,3906,0.00025588536335721597
89,gill-color,e,e,96,4187,0.022928110819202294
90,gill-color,b,p,1722,3906,0.44086021505376344
91,gill-color,b,e,0,4187,0.00023872045834328001
92,gill-color,r,p,23,3906,0.005888376856118792
93,gill-color,r,e,0,4187,0.00023872045834328001
94,gill-color,y,p,21,3906,0.005376344086021506
95,gill-color,y,e,63,4187,0.015046572725101504
96,gill-color,o,p,0,3906,0.00025588536335721597
97,gill-color,o,e,63,4187,0.015046572725101504
98,stalk-shape,e,p,1896,3906,0.48540706605222733
99,stalk-shape,e,e,1601,4187,0.38237401480773825
100,stalk-shape,t,p,2010,3906,0.5145929339477726
101,stalk-shape,t,e,2586,4187,0.6176259851922618
102,stalk-root,e,p,255,3906,0.065284178187404
103,stalk-root,e,e,859,4187,0.20515882493432053
104,stalk-root,c,p,43,3906,0.011008704557091653
105,stalk-root,c,e,504,4187,0.12037258180081203
106,stalk-root,b,p,1854,3906,0.47465437788018433
107,stalk-root,b,e,1918,4187,0.4580845474086458
108,stalk-root,r,p,0,3906,0.00025588536335721597
109,stalk-root,r,e,191,4187,0.04561738715070456
110,stalk-root,?,p,1754,3906,0.44905273937532003
111,stalk-root,?,e,715,4187,0.17076665870551708
112,stalk-surface-above-ring,s,p,1532,3906,0.39221710189452125
113,stalk-surface-above-ring,s,e,3622,4187,0.8650585144494866
114,stalk-surface-above-ring,f,p,144,3906,0.03686635944700461
115,stalk-surface-above-ring,f,e,406,4187,0.09696680200620969
116,stalk-surface-above-ring,k,p,2222,3906,0.568868407578085
117,stalk-surface-above-ring,k,e,143,4187,0.03415333174110342
118,stalk-surface-above-ring,y,p,8,3906,0.002048131080389145
119,stalk-surface-above-ring,y,e,16,4187,0.0038213518032003822
120,stalk-surface-below-ring,s,p,1530,3906,0.391705069124424
121,stalk-surface-below-ring,s,e,3384,4187,0.8082159063768808
122,stalk-surface-below-ring,f,p,144,3906,0.03686635944700461
123,stalk-surface-below-ring,f,e,452,4187,0.1079531884404108
124,stalk-surface-below-ring,y,p,75,3906,0.019201228878648235
125,stalk-surface-below-ring,y,e,207,4187,0.049438738953904944
126,stalk-surface-below-ring,k,p,2157,3906,0.5522273425499232
127,stalk-surface-below-ring,k,e,144,4187,0.034392166228803436
128,stalk-color-above-ring,w,p,1709,3906,0.4375320020481311
129,stalk-color-above-ring,w,e,2735,4187,0.6532123238595653
130,stalk-color-above-ring,g,p,0,3906,0.00025588536335721597
131,stalk-color-above-ring,g,e,576,4187,0.13756866491521375
132,stalk-color-above-ring,p,p,1291,3906,0.3305171530977983
133,stalk-color-above-ring,p,e,574,4187,0.13709099593981372
134,stalk-color-above-ring,n,p,432,3906,0.11059907834101383
135,stalk-color-above-ring,n,e,16,4187,0.0038213518032003822
136,stalk-color-above-ring,b,p,431,3906,0.11034306195596519
137,stalk-color-above-ring,b,e,0,4187,0.00023872045834328001
138,stalk-color-above-ring,e,p,0,3906,0.00025588536335721597
139,stalk-color-above-ring,e,e,96,4187,0.022928110819202294
140,stalk-color-above-ring,o,p,0,3906,0.00025588536335721597
141,stalk-color-above-ring,o,e,190,4187,0.045378552663004536
142,stalk-color-above-ring,c,p,35,3906,0.008960573476702509
143,stalk-color-above-ring,c,e,0,4187,0.00023872045834328001
144,stalk-color-above-ring,y,p,8,3906,0.002048131080389145
145,stalk-color-above-ring,y,e,0,4187,0.00023872045834328001
146,stalk-color-below-ring,w,p,1678,3906,0.4295954941116231
147,stalk-color-below-ring,w,e,2686,4187,0.6415094339622641
148,stalk-color-below-ring,p,p,1290,3906,0.3302611367127496
149,stalk-color-below-ring,p,e,576,4187,0.13756866491521375
150,stalk-color-below-ring,g,p,0,3906,0.00025588536335721597
151,stalk-color-below-ring,g,e,575,4187,0.13732983042751373
152,stalk-color-below-ring,b,p,432,3906,0.11059907834101383
153,stalk-color-below-ring,b,e,0,4187,0.00023872045834328001
154,stalk-color-below-ring,n,p,447,3906,0.11443932411674347
155,stalk-color-below-ring,n,e,64,4187,0.015285407212801529
156,stalk-color-below-ring,e,p,0,3906,0.00025588536335721597
157,stalk-color-below-ring,e,e,96,4187,0.022928110819202294
158,stalk-color-below-ring,y,p,24,3906,0.006144393241167435
159,stalk-color-below-ring,y,e,0,4187,0.00023872045834328001
160,stalk-color-below-ring,o,p,0,3906,0.00025588536335721597
161,stalk-color-below-ring,o,e,190,4187,0.045378552663004536
162,stalk-color-below-ring,c,p,35,3906,0.008960573476702509
163,stalk-color-below-ring,c,e,0,4187,0.00023872045834328001
164,veil-type,p,p,3906,3906,1.0
165,veil-type,p,e,4187,4187,1.0
166,veil-color,w,p,3898,3906,0.9979518689196109
167,veil-color,w,e,3997,4187,0.9546214473369955
168,veil-color,n,p,0,3906,0.00025588536335721597
169,veil-color,n,e,95,4187,0.022689276331502268
170,veil-color,o,p,0,3906,0.00025588536335721597
171,veil-color,o,e,95,4187,0.022689276331502268
172,veil-color,y,p,8,3906,0.002048131080389145
173,veil-color,y,e,0,4187,0.00023872045834328001
174,ring-number,o,p,3800,3906,0.9728622631848438
175,ring-number,o,e,3660,4187,0.8741342249820874
176,ring-number,t,p,71,3906,0.01817716333845366
177,ring-number,t,e,527,4187,0.12586577501791257
178,ring-number,n,p,35,3906,0.008960573476702509
179,ring-number,n,e,0,4187,0.00023872045834328001
180,ring-type,p,p,814,3906,0.2083973374295955
181,ring-type,p,e,3137,4187,0.7492237879149749
182,ring-type,e,p,1762,3906,0.4511008704557092
183,ring-type,e,e,1004,4187,0.239789825650824
184,ring-type,l,p,1295,3906,0.33154121863799285
185,ring-type,l,e,0,4187,0.00023872045834328001
186,ring-type,f,p,0,3906,0.00025588536335721597
187,ring-type,f,e,46,4187,0.0109863864342011
188,ring-type,n,p,35,3906,0.008960573476702509
189,ring-type,n,e,0,4187,0.00023872045834328001
190,spore-print-color,k,p,223,3906,0.057091653865847414
191,spore-print-color,k,e,1639,4187,0.39144972534033917
192,spore-print-color,n,p,224,3906,0.05734767025089606
193,spore-print-color,n,e,1737,4187,0.41485550513494146
194,spore-print-color,u,p,0,3906,0.00025588536335721597
195,spore-print-color,u,e,48,4187,0.011464055409601147
196,spore-print-color,h,p,1583,3906,0.405273937532002
197,spore-print-color,h,e,46,4187,0.0109863864342011
198,spore-print-color,w,p,1805,3906,0.4621095750128008
199,spore-print-color,w,e,575,4187,0.13732983042751373
200,spore-print-color,r,p,71,3906,0.01817716333845366
201,spore-print-color,r,e,0,4187,0.00023872045834328001
202,spore-print-color,o,p,0,3906,0.00025588536335721597
203,spore-print-color,o,e,47,4187,0.011225220921901122
204,spore-print-color,y,p,0,3906,0.00025588536335721597
205,spore-print-color,y,e,48,4187,0.011464055409601147
206,spore-print-color,b,p,0,3906,0.00025588536335721597
207,spore-print-color,b,e,47,4187,0.011225220921901122
208,population,s,p,368,3906,0.09421402969790067
209,population,s,e,875,4187,0.2089801767375209
210,population,n,p,0,3906,0.00025588536335721597
211,population,n,e,394,4187,0.09410078815380941
212,population,a,p,0,3906,0.00025588536335721597
213,population,a,e,382,4187,0.09123477430140912
214,population,v,p,2840,3906,0.7270865335381465
215,population,v,e,1188,4187,0.2837353713876284
216,population,y,p,647,3906,0.16564260112647208
217,population,y,e,1060,4187,0.25316455696202533
218,population,c,p,51,3906,0.013056835637480798
219,population,c,e,288,4187,0.06878433245760687
220,habitat,u,p,272,3906,0.06963645673323093
221,habitat,u,e,95,4187,0.022689276331502268
222,habitat,g,p,737,3906,0.18868407578084997
